V161198,V161178,V161126,V161310x,V161196x,V160101,V161087
2,3,2,White,7,1.2396,15
1,7,1,White,7,0.5724,0
3,4,4,NA,7,0.5567,30
NA,5,2,White,NA,1.0727,0
4,NA,4,White,7,2.1902,40
5,3,4,White,7,0.7445,15
7,3,6,White,1,0.5253,85
6,3,5,NA,7,2.9425,30
1,5,2,White,7,0.7321,0
1,7,6,Black,4,0.6122,0
1,5,2,White,7,1.0416,0
5,2,6,White,2,0.737,70
4,4,4,White,7,0.8942,0
5,3,6,White,6,1.3407,60
6,2,4,White,7,0.2856,70
4,1,5,NA,7,0.29,60
NA,5,NA,White,2,0.4956,15
7,5,5,NA,7,0.2316,100
1,7,4,Black,5,0.2383,0
6,3,5,White,7,0.4403,85
4,4,2,Black,7,3.7482,0
3,7,NA,Black,4,0.7697,40
4,6,NA,White,6,0.8503,60
NA,3,NA,NA,4,0.3505,50
4,4,NA,White,4,0.7574,60
4,4,6,White,NA,0.499,50
4,5,5,White,4,1.9352,60
3,5,NA,White,4,0.7627,85
4,4,6,White,4,1.4687,60
3,3,NA,Black,3,0.3434,0
2,4,4,White,4,0.4948,0
2,5,1,White,7,1.7368,0
5,5,5,NA,7,0.3544,40
2,4,7,Black,4,0.4669,0
4,7,7,Black,4,1.2695,0
6,4,5,White,1,1.8087,100
4,4,NA,NA,7,0.6618,30
4,4,2,White,4,0.9871,0
7,5,5,White,6,0.3619,70
1,5,2,NA,7,2.9867,0
7,NA,5,White,1,0.3615,40
4,4,4,White,7,0.3456,15
3,3,6,White,2,1.3267,85
7,NA,4,White,4,1.1071,20
4,NA,3,White,7,0.6582,0
NA,NA,NA,NA,4,0.4062,70
6,3,NA,White,1,4.414,85
4,3,7,White,1,1.5475,85
3,5,2,White,7,0.3438,0
4,5,2,White,7,1.4546,-99
4,4,4,White,6,0.5023,100
NA,3,7,White,4,0.5539,20
3,6,2,White,4,0.9218,0
3,4,4,White,7,0.4869,30
5,1,3,White,7,0.7551,0
4,4,7,White,1,0.4,85
4,2,6,White,7,0.2982,10
6,4,NA,White,1,0.3968,70
7,2,4,White,2,0.8812,60
6,3,6,White,1,0.3685,70
3,5,3,White,7,1.9281,30
4,2,4,White,2,0.8019,70
4,4,NA,White,6,0.7228,50
5,5,5,NA,7,0.6929,40
5,5,NA,White,7,0.613,70
5,3,6,White,7,0.9745,30
NA,5,NA,White,1,1.511,70
1,4,NA,NA,4,0.6273,0
5,3,5,White,4,0.7293,10
2,3,NA,White,7,1.0596,0
6,3,5,White,4,1.2472,60
2,5,4,White,6,0.9574,0
4,NA,NA,White,4,1.9488,30
NA,NA,NA,White,1,1.4029,9
NA,NA,3,White,1,0.5617,100
4,NA,NA,White,1,0.4681,70
4,NA,6,White,2,0.3452,15
7,3,5,NA,1,0.9324,85
7,5,5,White,2,0.4166,40
5,1,7,White,6,1.4545,0
4,NA,4,White,4,0.8942,15
4,3,4,White,7,0.7114,50
4,4,4,Black,7,1.1348,0
6,3,6,White,1,0.6552,70
3,3,7,White,1,1.0978,50
7,3,NA,White,6,0.1784,50
NA,5,3,NA,7,0.407,0
3,6,4,NA,2,1.2751,40
5,6,NA,NA,7,0.9672,0
3,4,NA,White,7,2.2695,40
6,6,1,Black,2,0.2164,50
6,2,5,White,7,0.4628,30
4,4,3,White,7,0.1832,0
6,3,6,White,1,1.7591,60
3,NA,NA,White,4,2.4275,40
4,5,5,NA,7,1.2465,70
7,NA,5,White,NA,1.7432,50
4,5,2,NA,7,0.6562,0
NA,7,1,NA,7,0.7807,50
3,5,4,White,7,1.8356,0
5,6,1,White,7,0.5473,0
2,6,2,NA,7,0.871,0
4,5,6,NA,1,0.5853,100
NA,NA,NA,White,4,0.8684,0
1,3,4,White,1,0.7411,50
6,3,6,White,4,0.9992,70
NA,1,6,White,7,1.2733,15
1,6,3,NA,5,0.8966,0
4,6,2,White,7,0.5516,0
2,2,NA,White,1,3.4154,85
5,3,5,White,4,0.9937,60
6,5,NA,White,2,1.0009,100
7,2,NA,White,4,0.2689,70
3,2,3,White,3,0.7222,0
5,NA,4,White,1,0.4861,70
6,4,5,White,6,0.6604,70
3,6,2,White,7,0.514,10
5,2,5,White,1,0.7899,70
1,7,7,Black,7,0.2314,0
3,4,3,White,7,0.4125,0
1,NA,NA,Black,4,0.4265,0
3,4,4,White,7,1.0574,15
3,4,1,NA,7,0.4398,0
5,3,6,White,1,1.1221,100
6,2,6,White,6,0.7688,40
NA,6,NA,NA,5,0.3068,40
7,6,NA,White,7,0.7274,0
7,7,NA,White,7,0.3306,30
1,NA,NA,NA,7,0.2752,50
6,4,6,White,7,0.5563,15
1,4,4,Black,7,0.3607,0
NA,4,4,White,7,0.8414,0
5,4,4,White,7,0.603,0
6,4,NA,White,7,0.4516,30
3,4,2,NA,7,1.1562,30
6,4,6,NA,2,0.9032,85
7,7,6,White,1,3.3338,0
NA,NA,4,White,5,0.5855,50
7,6,5,White,1,1.5502,90
4,6,NA,White,7,0.7724,60
4,4,NA,White,6,0.1366,0
1,6,2,White,7,0.8663,0
6,4,6,White,2,0.5355,60
5,4,5,Black,NA,1.8959,40
4,4,NA,White,7,1.8165,40
3,5,2,White,7,0.6418,0
5,2,5,White,3,0.9264,30
6,2,6,White,1,0.3561,100
3,NA,5,White,4,1.6318,50
NA,4,4,White,2,0.6687,0
4,7,4,NA,6,0.7272,50
7,6,NA,White,1,1.1173,60
3,4,2,White,7,0.4226,15
4,5,2,NA,7,0.6211,0
NA,5,4,NA,7,0.8885,15
NA,6,2,NA,7,0.9791,0
6,2,5,NA,1,0.4461,70
4,5,2,White,7,0.4663,0
NA,4,4,White,NA,0.4216,60
1,NA,4,NA,1,0.2401,85
4,3,NA,White,7,0.3583,0
5,NA,NA,White,5,0.8696,30
2,5,2,White,4,2.5678,20
6,NA,6,White,4,0.1499,60
4,4,NA,White,4,0.9748,60
1,4,6,NA,4,0.6559,0
2,5,2,White,7,1.3159,0
5,5,NA,White,4,1.679,40
2,7,2,White,7,0.6587,0
6,4,2,White,7,0.3487,0
4,4,NA,White,5,1.2935,15
3,3,5,White,4,1.0947,15
7,2,5,White,1,0.8688,85
4,2,4,White,1,0.4555,40
7,4,4,White,NA,0.2686,65
3,6,2,White,7,0.6111,0
4,3,NA,NA,4,0.9223,60
5,7,NA,Black,1,0.3074,0
2,5,3,White,7,0.8738,30
6,1,6,White,1,1.7794,85
5,4,4,Black,6,1.6822,30
6,4,5,White,1,1.845,60
5,2,5,White,4,0.787,40
3,5,5,NA,7,0.2137,40
4,2,7,White,2,0.5785,60
1,6,2,White,7,0.4087,0
4,NA,NA,White,2,0.5496,90
1,7,6,White,4,0.5652,0
6,4,6,White,1,0.6069,85
7,2,NA,White,1,0.2976,70
NA,NA,NA,White,4,2.4882,85
2,7,NA,Black,7,1.3052,0
4,5,1,White,7,1.7266,0
4,4,NA,NA,4,0.863,0
4,4,6,White,NA,0.3854,70
3,5,3,NA,7,1.8051,0
4,3,4,White,1,0.2425,50
NA,NA,NA,White,4,0.3404,85
NA,NA,NA,NA,4,1.0524,50
1,7,1,NA,7,0.4723,0
7,1,NA,White,1,0.7783,70
7,3,4,White,1,1.5103,60
1,4,2,NA,4,0.4732,15
6,3,4,NA,5,0.419,50
1,1,4,Black,4,3.0204,50
6,1,7,White,1,1.8244,85
7,1,7,White,1,0.6222,100
NA,NA,NA,Black,7,0.4179,40
4,6,4,White,1,0.5763,85
5,NA,NA,White,7,0.6644,50
5,6,NA,White,4,1.0988,40
NA,7,NA,White,NA,0.4512,0
4,4,NA,NA,1,1.1245,15
6,2,4,White,5,0.1974,70
6,1,6,White,4,0.4244,60
6,6,5,White,7,0.3616,60
3,7,NA,Black,6,0.7489,15
NA,5,NA,White,7,0.9271,100
2,6,3,White,6,6.8139,50
3,5,3,White,6,0.8754,15
4,4,2,White,7,0.8246,0
6,5,6,White,4,0.3118,85
6,1,6,White,1,1.8292,70
NA,NA,5,NA,7,0.8527,70
4,5,3,White,7,0.7924,0
7,5,NA,White,3,0.5627,70
4,1,6,White,1,1.0236,85
4,5,6,White,7,0.8552,50
2,5,NA,NA,7,1.3769,0
4,4,NA,Black,7,0.5004,70
7,NA,NA,White,1,1.2361,100
NA,4,6,White,1,1.0226,100
7,2,4,White,4,0.7805,70
5,6,4,White,6,1.4051,15
4,6,NA,NA,7,0.9594,0
7,4,6,White,1,0.4692,70
NA,NA,5,White,1,1.4414,70
NA,NA,NA,White,2,0.9554,0
5,7,NA,NA,7,0.6358,30
6,2,6,White,1,0.6441,60
NA,3,6,White,2,0.6438,85
2,5,2,Black,7,0.7215,0
7,4,5,White,5,1.3869,100
4,4,4,White,7,2.5223,0
4,NA,NA,White,4,1.7495,80
NA,4,NA,NA,6,1.3379,30
2,5,3,NA,4,0.539,0
5,4,NA,NA,7,1.4837,0
7,7,NA,NA,1,1.1342,60
7,NA,5,White,4,1.7667,40
1,7,1,White,7,1.1257,0
5,1,4,White,1,0.2813,85
1,NA,NA,Black,7,0.5516,52
1,7,1,White,7,1.0076,0
7,2,7,NA,6,0.3178,100
7,2,6,White,2,0.6381,85
4,4,5,White,7,0.8997,0
NA,2,7,White,4,0.6189,60
4,4,5,White,6,1.6386,15
5,2,4,White,5,0.3588,30
4,4,4,NA,1,0.3305,70
3,5,2,White,7,0.6769,0
5,4,5,White,4,1.5898,60
6,NA,NA,NA,4,0.7754,40
1,4,5,White,7,0.7556,15
3,5,4,Black,7,0.9365,15
NA,5,4,White,7,0.7827,0
7,7,4,Black,4,0.77,0
5,3,3,White,7,0.415,15
7,7,1,White,2,0.6868,0
6,7,1,White,7,0.3028,0
5,4,NA,NA,6,0.9707,40
1,6,1,NA,7,0.9155,0
1,7,NA,Black,6,1.9352,50
4,3,3,White,7,0.6333,60
7,7,5,NA,4,0.2658,50
2,2,3,NA,4,1.6936,0
7,2,5,White,1,0.5396,70
6,1,7,White,1,0.7801,100
5,5,NA,White,7,1.4785,70
6,NA,3,NA,2,0.517,15
3,2,4,White,6,0.543,30
NA,2,6,NA,4,0.356,60
5,6,5,White,6,0.2497,70
NA,4,NA,White,7,0.3591,0
4,5,4,White,7,1.1074,15
NA,5,3,White,7,1.6535,30
2,6,2,White,7,0.4313,0
7,3,7,White,4,1.7846,50
5,4,6,White,4,1.0102,60
NA,4,NA,White,4,0.4188,96
4,5,2,White,7,0.9196,0
5,5,4,White,4,0.3313,85
4,4,4,White,7,1.0662,70
6,2,7,White,1,1.4032,70
NA,2,NA,White,7,0.6631,60
NA,NA,NA,White,2,0.6875,50
NA,NA,NA,White,1,2.7677,0
2,NA,6,Black,NA,1.0405,0
6,3,4,White,2,0.5793,85
3,4,4,White,7,1.6073,40
7,NA,NA,NA,7,0.3035,0
4,4,4,Black,NA,1.0554,15
4,4,2,White,7,0.6537,0
4,5,3,White,7,1.1076,15
7,2,7,White,5,0.962,85
5,5,5,White,4,0.673,70
7,3,NA,NA,7,0.9318,25
NA,3,5,White,7,0.9275,60
5,3,NA,NA,4,0.3473,70
NA,NA,NA,White,2,0.5636,60
NA,NA,NA,White,1,1.8449,50
2,4,2,White,7,1.7368,0
4,3,4,NA,7,1.159,35
7,2,6,White,1,0.3689,100
4,3,3,NA,7,0.3058,0
6,2,3,White,2,0.3954,40
2,6,6,Black,6,1.1355,0
3,4,4,White,4,1.4081,40
NA,1,6,White,1,3.4936,75
6,2,6,White,1,2.1372,70
6,4,6,White,NA,0.6629,85
7,2,7,White,4,1.055,85
NA,NA,2,White,6,0.9149,0
6,3,NA,NA,6,1.7053,60
7,6,NA,NA,1,0.7747,100
7,1,6,White,1,0.5377,85
4,3,6,White,2,1.4844,50
7,4,5,White,4,0.2631,40
1,7,NA,Black,4,0.9786,0
4,5,2,White,7,0.6757,0
NA,NA,NA,NA,2,0.1399,40
3,5,4,White,7,1.6079,0
6,1,6,White,2,1.0686,85
1,4,2,Black,7,0.7304,30
NA,7,NA,White,4,0.4191,0
6,4,5,White,6,0.3114,30
1,4,5,Black,7,2.2564,30
7,5,NA,White,4,0.6949,85
6,3,5,White,6,0.9466,50
7,5,4,NA,1,1.0991,40
6,3,5,White,1,0.2873,85
7,5,6,NA,7,0.6892,70
3,3,5,White,6,1.0651,40
5,4,5,White,5,0.2718,0
4,5,2,White,7,0.3804,0
4,NA,4,White,6,0.7365,60
4,4,NA,White,7,0.199,0
4,7,4,Black,7,1.1133,60
3,4,2,White,6,0.3254,30
5,1,7,White,1,1.277,60
5,3,4,White,6,0.4696,70
NA,2,5,White,4,0.4134,40
2,4,2,Black,6,0.4536,15
1,6,2,NA,7,0.5415,0
3,3,5,White,2,0.5989,60
7,4,5,White,1,0.9698,70
4,6,3,NA,7,0.5264,0
6,2,6,White,2,4.2176,15
5,NA,NA,White,7,0.7333,30
7,NA,NA,White,5,1.2092,85
7,1,5,White,5,0.7949,70
3,5,4,Black,4,0.5219,0
4,3,NA,White,4,0.3029,70
7,7,NA,White,4,0.5013,0
3,4,1,White,7,1.4687,0
4,5,NA,Black,7,1.1094,0
2,5,3,White,7,1.2385,0
2,6,2,White,7,1.324,0
4,5,2,White,7,0.4625,0
4,5,2,Black,7,0.4878,0
2,NA,NA,Black,7,0.5697,0
1,5,4,White,1,0.8031,100
7,1,6,White,4,1.0384,85
4,5,NA,White,2,1.1511,60
4,2,4,NA,7,1.2252,60
3,5,3,White,7,0.342,0
2,7,2,White,7,0.2521,0
2,6,2,White,7,1.3108,0
5,6,3,NA,7,0.5658,60
5,2,6,White,2,0.2628,85
1,5,NA,Black,4,0.3886,0
4,5,1,White,7,0.5568,0
NA,7,NA,White,1,2.8367,85
3,3,5,NA,7,0.2264,0
1,7,1,NA,7,0.6896,0
7,2,5,NA,7,1.7624,50
3,3,5,White,7,1.1407,0
2,6,1,White,7,0.6036,0
4,4,3,White,6,1.4991,70
4,4,NA,White,4,0.7705,50
6,5,4,White,2,0.4732,70
7,3,5,NA,3,0.6149,40
4,1,6,White,7,1.3355,15
7,5,6,White,1,1.4078,100
1,6,4,White,7,1.0449,0
5,NA,NA,White,4,1.323,60
NA,3,6,White,2,0.552,0
4,4,2,White,7,1.4148,0
NA,5,NA,White,7,1.7885,2
4,NA,NA,White,7,3.4315,-99
7,4,NA,White,2,0.9864,0
3,5,2,NA,7,2.996,0
5,NA,NA,White,2,0.4602,50
4,NA,NA,White,4,1.0288,0
2,6,2,White,7,0.4232,0
6,3,6,White,1,3.2933,100
3,4,5,White,7,0.7222,0
3,5,NA,White,4,1.0571,0
3,4,4,Black,7,1.2798,0
4,6,4,NA,1,0.6143,48
6,2,6,White,1,0.8567,60
7,1,6,White,2,1.5107,71
NA,3,3,White,1,0.8361,91
5,3,5,White,6,1.5145,70
4,5,NA,Black,7,1.847,0
4,4,4,White,7,0.8221,0
7,1,6,White,1,0.9864,77
4,3,5,NA,1,1.5188,85
4,4,6,White,4,1.9507,60
4,NA,NA,Black,5,2.0289,0
3,3,4,White,6,0.3874,3
5,3,2,White,7,1.0349,15
7,1,NA,White,2,1.3186,100
4,6,2,Black,7,0.5522,2
5,2,6,White,2,1.5188,70
6,2,6,White,1,0.6845,85
NA,4,NA,White,4,1.5861,40
6,1,5,White,3,0.8959,15
4,3,3,White,4,0.9221,4
2,2,4,Black,4,0.6866,54
4,3,4,White,6,0.9151,15
6,NA,NA,White,1,0.7421,100
5,3,6,White,2,0.3543,70
4,NA,4,White,6,1.8685,0
NA,3,6,White,1,1.9894,85
4,NA,NA,Black,4,0.3536,1
7,NA,NA,White,1,0.7048,60
4,5,4,NA,7,1.0391,0
3,NA,4,White,4,0.3943,5
6,NA,NA,White,2,0.849,0
5,4,4,White,4,0.3396,0
3,1,4,White,2,0.8334,50
2,4,3,White,7,0.9254,0
4,6,NA,White,4,1.3929,-99
1,7,4,Black,4,0.5399,0
4,2,3,White,1,0.7529,65
1,4,NA,Black,7,2.1918,0
6,3,NA,Black,2,1.3702,0
NA,2,5,NA,7,0.7954,0
6,NA,NA,NA,6,0.3878,30
5,NA,NA,White,1,1.4994,100
7,7,5,White,4,0.411,60
1,6,NA,Black,2,0.5057,0
2,5,1,White,7,1.6558,0
5,6,4,NA,7,1.31,0
4,3,2,White,7,0.3617,0
1,7,1,White,7,1.0178,0
4,7,3,White,2,0.425,60
6,4,4,White,2,1.2904,85
3,4,3,White,6,1.2887,15
6,3,6,White,5,4.0402,62
7,1,5,White,1,0.9037,45
1,5,NA,Black,7,0.9075,0
4,4,2,White,6,0.9037,0
7,2,6,White,4,1.1065,51
6,2,5,White,4,0.4566,85
2,4,NA,Black,2,0.2911,0
4,3,5,NA,1,0.9072,90
5,NA,6,NA,7,1.307,70
2,3,5,White,7,0.7438,30
3,5,2,White,4,0.3634,15
5,4,5,NA,4,0.9992,85
7,1,7,White,2,1.7516,70
NA,NA,1,NA,7,1.1864,0
6,3,5,White,4,1.0539,70
6,2,6,White,1,0.8959,70
6,3,4,White,2,1.1714,100
6,2,6,White,4,0.4382,60
NA,NA,5,NA,1,1.9594,0
4,6,5,White,7,1.3383,40
1,5,4,NA,7,0.3362,0
7,3,6,White,1,0.9579,86
7,3,5,White,1,0.5326,75
1,NA,NA,White,7,0.3959,15
4,NA,4,White,4,0.9914,70
3,3,4,White,6,1.5694,24
NA,NA,2,White,7,0.3959,0
7,1,6,White,2,0.6697,85
7,1,7,NA,1,0.7098,100
NA,4,NA,White,4,1.0613,41
NA,3,NA,NA,1,1.7335,15
5,4,5,White,1,1.2757,100
NA,6,NA,White,1,0.961,100
4,2,NA,White,6,1.5898,61
3,5,2,White,7,0.9969,1
7,NA,3,NA,7,0.3899,30
4,4,6,NA,6,1.4407,0
4,NA,NA,White,2,0.8742,30
6,3,4,White,7,0.3537,15
7,2,3,White,1,1.4204,72
2,5,3,White,7,0.9901,0
7,1,NA,White,4,1.2806,60
4,5,NA,White,2,0.859,2
7,3,5,White,6,0.6438,30
7,1,5,NA,1,1.6476,30
4,1,5,White,7,0.8126,0
5,7,NA,NA,6,1.5031,70
NA,4,2,White,7,0.738,0
NA,2,2,Black,5,0.5649,0
1,3,NA,Black,7,0.4855,30
7,1,7,White,2,0.7607,100
6,3,6,White,4,2.6619,85
1,5,4,Black,7,0.5665,0
3,3,2,NA,7,0.354,0
6,1,6,White,2,1.5098,60
1,4,1,White,7,0.6115,60
4,NA,NA,White,1,0.3611,0
1,4,4,NA,7,0.709,0
7,2,6,White,1,0.4239,70
4,4,3,White,7,0.9114,0
5,4,4,White,7,1.0139,0
4,2,5,White,6,0.9012,40
4,4,4,White,7,0.612,60
3,4,4,NA,6,0.6927,40
5,3,4,White,1,0.3482,70
5,1,6,White,2,0.8707,49
7,4,6,White,4,1.0305,85
7,1,NA,White,2,1.5447,100
6,NA,NA,White,6,2.5614,0
5,4,2,NA,7,0.8997,0
NA,NA,NA,NA,7,0.6767,0
3,7,4,White,6,1.7232,40
NA,7,4,NA,4,1.5059,0
4,4,2,White,7,0.7709,16
3,NA,3,White,7,0.8112,0
5,5,2,White,4,0.426,90
NA,5,2,White,7,0.9007,30
2,7,1,White,7,0.9042,0
6,5,4,White,4,0.6697,40
2,5,3,NA,7,1.0222,40
7,3,NA,White,2,0.3899,0
1,7,1,NA,7,0.6383,0
7,NA,NA,NA,7,0.8106,0
7,4,6,White,1,0.8795,60
6,2,6,NA,1,1.4052,85
1,4,6,Black,2,1.1764,0
1,7,1,White,7,0.8419,1
5,NA,5,NA,4,1.1656,15
1,NA,NA,White,6,1.646,0
4,5,NA,White,7,0.7494,0
5,1,6,White,1,0.7222,60
2,4,6,NA,1,0.8001,100
5,1,7,NA,1,0.6401,50
3,7,4,White,4,0.7905,40
3,5,4,Black,7,0.4729,0
6,4,4,White,7,0.4939,30
7,3,7,White,4,0.589,65
5,3,6,White,1,0.3481,85
NA,NA,NA,NA,4,1.3313,2
7,NA,6,White,1,1.4993,70
6,1,5,White,2,0.4232,30
3,4,NA,NA,4,0.3819,40
2,4,NA,White,4,0.8221,50
5,3,4,White,7,0.7969,15
NA,NA,NA,NA,6,0.7005,60
7,6,4,NA,7,0.4692,0
7,2,7,White,1,1.2055,85
6,4,4,White,7,2,0
4,4,4,Black,7,0.4242,15
6,NA,4,NA,7,1.1559,0
6,3,2,White,4,0.3947,0
4,2,NA,White,6,0.3845,30
NA,2,NA,White,1,1.2792,70
1,5,1,White,7,0.3764,0
4,4,2,White,7,0.9042,0
2,4,6,White,7,0.4524,70
2,4,4,NA,7,0.5928,0
4,4,5,White,4,0.7259,40
4,3,2,White,7,1.5025,0
6,4,3,White,7,0.4453,0
4,4,4,White,4,0.9754,42
6,5,4,White,7,0.8491,15
4,5,4,White,7,0.3895,30
5,NA,NA,White,7,0.4163,0
7,4,7,White,1,1.1594,100
6,3,3,White,6,0.7261,60
7,2,7,White,7,0.9151,60
7,1,5,White,1,0.6956,100
NA,1,6,White,1,0.4857,100
3,4,4,White,7,0.8001,0
NA,NA,NA,White,4,0.358,30
5,2,6,White,1,0.3979,100
2,6,3,Black,4,0.6356,0
NA,7,1,White,7,1.582,0
7,5,4,White,6,0.6647,30
4,5,2,White,2,0.5567,0
3,4,7,NA,7,0.5061,0
NA,NA,4,White,6,0.9577,15
1,NA,NA,Black,1,0.6759,0
2,3,3,White,7,0.7438,0
4,4,5,White,4,0.9652,60
6,2,7,White,1,2.2233,100
7,1,6,White,6,0.9055,55
NA,NA,NA,White,1,2.7351,85
NA,NA,NA,White,4,1.583,30
5,4,4,White,1,0.9578,50
7,4,NA,NA,2,0.5348,85
4,5,2,White,7,0.6253,0
4,4,6,NA,2,0.3438,70
5,4,3,White,7,1.4277,0
5,7,4,White,4,2.1547,86
1,6,2,Black,1,1.2069,2
6,2,4,White,4,0.417,60
5,3,6,White,4,1.0477,60
5,4,4,White,1,0.7606,70
3,4,NA,White,5,2.52,50
NA,NA,NA,White,1,1.665,100
4,5,4,White,1,0.789,15
5,1,5,NA,1,1.0222,100
4,5,4,White,7,1.241,0
3,4,NA,White,1,1.5827,30
5,4,2,Black,7,4.5139,0
7,3,3,White,4,0.4137,70
4,3,NA,White,2,1.2365,71
6,4,4,NA,1,1.5437,70
7,2,6,White,4,0.373,100
5,1,7,White,1,1.9234,100
4,4,NA,NA,4,1.1633,0
2,6,NA,White,4,2.7865,0
6,3,6,White,1,0.8063,85
NA,NA,NA,White,4,0.317,60
NA,6,4,White,5,1.0575,0
5,NA,NA,White,4,0.9042,0
4,3,3,NA,4,0.368,60
5,2,6,White,2,0.7643,84
6,1,6,NA,7,0.5125,40
5,2,5,White,6,0.8808,30
2,5,4,White,1,1.3767,60
3,6,6,NA,7,0.368,15
4,NA,NA,NA,5,2.4582,0
6,3,5,White,4,0.8222,40
1,4,5,White,7,0.795,0
7,1,6,White,1,0.3819,NA
7,1,NA,White,1,1.6659,100
6,3,6,White,4,0.5231,NA
4,5,NA,White,7,0.8754,85
NA,7,4,White,7,0.6776,0
1,5,2,White,1,1.5873,85
7,2,6,NA,1,1.1448,85
NA,3,4,White,4,0.8419,0
5,4,NA,Black,4,1.2652,0
3,5,NA,White,7,0.8126,2
2,6,2,White,7,1.0613,0
2,5,2,Black,7,1.3791,1
1,7,5,NA,7,3.0348,0
4,5,4,NA,4,0.3457,10
NA,NA,NA,White,7,0.7749,100
6,1,5,White,4,0.6253,60
NA,NA,NA,NA,4,1.5178,50
5,NA,5,NA,2,0.6617,70
6,4,3,White,4,1.1808,16
2,6,NA,Black,4,0.89,0
1,7,4,White,7,0.4844,1
4,NA,4,NA,4,0.7416,1
4,4,NA,White,2,0.3874,0
NA,4,NA,White,5,0.8626,70
4,4,6,NA,7,0.538,50
5,4,4,NA,7,0.5731,-99
4,4,4,Black,6,0.3275,40
5,3,NA,NA,4,0.5078,40
6,NA,NA,White,4,0.9977,100
5,1,5,White,3,1.4775,70
1,NA,NA,White,1,0.921,50
5,2,6,White,1,1.3695,73
6,3,6,White,4,0.8568,70
5,2,6,White,1,1.637,41
6,2,4,White,4,0.7961,80
7,1,6,White,1,0.4857,81
NA,6,3,NA,7,1.5872,6
7,2,NA,White,4,0.9037,86
4,5,NA,White,5,1.4993,30
4,5,1,White,7,0.8576,1
7,4,6,White,4,0.6254,85
4,4,2,White,7,0.9534,1
4,4,NA,NA,4,1.5693,61
4,3,NA,White,4,0.4142,41
7,2,7,White,1,0.8873,100
4,2,5,NA,1,0.674,70
6,NA,6,White,2,0.4106,40
1,1,NA,Black,1,0.8614,50
4,7,2,White,7,0.4672,8
3,5,4,White,7,2.1133,15
7,3,4,White,1,1.1083,70
7,2,7,White,1,0.7525,90
5,4,6,White,4,1.0816,70
NA,5,3,White,6,0.8112,0
2,7,NA,NA,7,0.3361,5
1,7,7,Black,4,1.8681,100
7,2,6,White,4,0.6438,85
4,3,4,White,4,0.4599,30
6,4,6,White,1,0.4857,40
6,4,5,White,7,2.489,100
5,4,4,White,2,1.6209,60
1,5,1,White,7,0.8402,0
4,2,5,White,7,0.9796,0
NA,NA,NA,NA,4,3.1537,0
1,6,1,White,7,0.3777,0
1,NA,4,White,1,1.5352,80
NA,NA,NA,NA,4,2.5563,1
4,4,4,White,7,0.5394,0
7,1,6,White,1,1.4994,100
4,5,4,Black,4,2.561,0
7,3,6,White,4,1.2985,85
3,5,2,NA,6,0.8693,0
4,5,3,White,7,0.8548,0
6,4,6,NA,4,0.6735,61
2,3,3,Black,7,1.3445,0
4,4,4,White,4,0.5224,5
5,4,4,White,4,0.5174,15
7,2,4,NA,6,0.8027,50
4,3,6,White,1,0.6814,100
7,1,6,White,4,0.3551,-99
4,5,2,White,7,0.7711,0
4,6,4,NA,4,0.5829,0
3,5,2,White,7,0.3459,0
6,2,6,White,1,0.8401,41
7,2,6,NA,1,1.2225,85
4,NA,NA,NA,4,1.2051,0
6,1,6,White,2,0.824,65
1,7,1,White,7,1.6164,0
NA,NA,NA,Black,4,0.5513,1
5,3,7,White,4,0.3852,75
4,5,2,White,7,0.6115,0
6,4,4,White,2,0.6799,100
7,5,7,White,1,0.7424,70
5,5,2,Black,7,1.3759,2
5,6,NA,Black,6,0.6533,15
2,6,1,White,7,0.4857,16
7,NA,NA,White,1,2.0446,50
4,NA,6,NA,1,0.9068,85
5,2,5,White,6,2.5001,32
7,3,3,White,1,0.3997,34
3,5,2,White,7,0.4764,5
7,1,6,White,4,0.8375,84
NA,NA,NA,White,4,2.4906,85
5,4,4,White,2,0.7592,52
4,4,4,White,2,0.3686,15
7,5,2,White,4,0.5067,0
1,NA,4,White,6,0.9217,0
6,2,3,White,7,0.3839,40
NA,NA,NA,Black,6,1.9114,3
5,NA,NA,NA,7,0.7581,15
4,6,NA,White,4,1.7299,0
1,NA,4,NA,6,1.593,0
7,4,4,White,2,1.2132,50
7,3,4,White,7,0.8131,15
3,3,6,White,4,0.3837,85
6,2,6,White,5,0.6086,83
1,3,NA,Black,4,0.576,17
NA,NA,NA,White,3,0.6316,15
7,2,NA,White,4,0.6727,0
7,2,6,White,1,0.9848,60
4,1,7,White,4,0.7606,85
7,6,4,White,7,0.8795,0
1,6,2,Black,7,0.5649,7
6,2,4,NA,2,1.2444,50
2,7,NA,White,1,1.0152,70
NA,NA,NA,White,2,0.6436,30
3,2,6,White,7,0.7407,70
4,4,6,White,1,1.3576,61
6,2,3,White,6,2.4976,0
4,5,NA,White,2,3.0883,60
7,1,5,White,1,0.4232,61
5,NA,NA,NA,7,1.3356,0
NA,4,NA,White,1,1.294,40
NA,4,3,White,7,1.0659,0
7,1,7,White,2,0.8184,70
4,7,NA,Black,7,0.4715,0
4,4,4,NA,7,1.6455,10
6,NA,4,NA,1,0.7387,30
4,3,5,White,1,0.8221,70
7,1,6,White,1,1.5066,94
7,3,NA,White,3,2.417,60
7,NA,NA,White,1,1.5243,85
1,7,NA,NA,7,3.1023,0
4,7,4,White,1,0.6129,40
