V161198,V161178,V161126,V161310x,V161196x,V160101,V161087
7,4,NA,White,3,0.7683,70
5,5,3,White,6,0.6244,50
1,7,NA,White,2,1.2391,50
6,5,3,White,2,0.617,60
4,3,4,White,7,1.1123,40
1,5,NA,Black,7,1.607,30
5,5,4,NA,7,0.324,0
7,1,5,NA,NA,2.3718,0
4,2,NA,Black,5,0.3376,15
NA,NA,4,White,2,4.1611,100
5,2,6,White,1,3.7237,70
1,6,NA,NA,7,0.8654,70
5,2,6,White,3,1.523,35
3,3,6,NA,2,0.161,0
1,6,2,White,7,0.7466,15
NA,NA,4,White,6,0.798,40
7,4,4,White,7,2.1258,0
6,4,NA,White,7,0.2037,0
NA,NA,3,NA,3,1.5096,30
3,5,3,NA,7,1.1154,15
5,4,NA,White,6,1.9632,85
5,7,7,White,1,0.1756,75
5,NA,6,NA,1,0.6528,100
5,5,4,White,4,0.2334,30
6,1,6,White,7,1.1378,85
5,1,7,White,3,0.7813,40
7,1,6,White,2,1.2844,60
6,2,4,White,4,0.4886,40
4,3,6,White,6,1.9267,0
4,4,4,Black,7,1.1931,30
4,4,5,Black,4,1.4618,50
3,6,2,White,7,0.2982,0
6,4,5,White,4,1.3032,30
2,6,1,White,7,0.3132,0
4,3,5,White,7,0.6602,0
6,4,4,White,3,2.4453,50
6,3,6,White,7,0.1978,0
6,4,6,White,4,2.6148,85
1,6,1,NA,7,1.0282,0
6,3,5,White,1,1.0236,70
1,6,2,White,7,0.3852,0
6,4,3,White,1,0.9124,85
4,4,6,White,4,0.6434,30
5,3,4,White,7,1.6453,30
5,1,NA,NA,7,0.7024,0
3,3,7,White,1,0.821,70
5,3,6,White,7,0.9549,70
3,4,6,White,2,0.2464,60
4,3,NA,White,2,0.2694,50
7,1,5,White,1,0.1818,90
NA,NA,NA,White,4,1.1674,60
4,NA,NA,Black,6,0.3812,0
2,5,2,White,7,1.1939,15
4,5,3,White,7,1.1055,30
7,7,4,NA,7,0.3465,0
7,4,6,White,4,0.4928,70
4,4,4,White,7,1.1886,40
4,4,6,White,4,0.4197,30
4,4,6,White,1,1.5381,100
6,1,7,White,1,0.7185,85
7,1,7,White,1,0.8486,100
5,6,4,NA,1,0.431,85
NA,NA,2,NA,7,0.297,0
4,NA,4,NA,1,1.656,30
4,3,3,NA,7,0.5546,15
4,4,5,White,3,1.0175,50
NA,3,5,White,7,1.2799,15
1,4,4,Black,7,1.862,0
6,3,6,White,1,0.9103,85
1,2,2,NA,7,0.5366,0
NA,1,NA,White,1,1.5568,50
NA,3,3,Black,5,0.8448,0
4,2,1,NA,4,0.3631,15
4,5,4,NA,7,0.3638,40
6,4,3,NA,4,0.717,60
5,5,5,White,3,0.8754,70
5,6,NA,Black,7,1.0335,0
NA,3,5,White,7,0.3878,15
NA,NA,3,NA,7,0.6894,0
4,5,4,NA,7,0.3429,0
NA,5,NA,NA,1,0.418,60
2,5,2,White,7,0.3721,0
4,4,NA,Black,1,0.5366,70
4,4,2,White,7,0.991,0
6,4,5,White,2,1.3546,70
NA,4,6,White,4,0.7376,50
6,1,6,White,1,0.4191,85
7,NA,NA,White,1,0.419,0
6,3,3,White,7,0.8071,60
4,5,NA,Black,7,0.623,0
NA,NA,NA,White,7,0.1311,0
3,6,6,NA,7,0.6428,0
6,5,NA,White,4,2.0049,100
3,NA,NA,White,2,0.9187,100
2,5,4,Black,2,2.6376,15
NA,6,2,White,7,0.7451,0
NA,NA,4,White,7,0.3924,0
7,4,7,White,1,0.5833,70
3,3,6,NA,1,1.4389,70
4,4,4,White,6,0.7865,40
5,6,6,White,2,0.5829,50
3,4,4,NA,7,0.4723,15
5,2,6,White,1,0.4755,85
4,4,2,White,1,1.709,60
5,3,NA,White,4,0.3393,60
6,6,6,Black,7,1.7308,50
5,2,6,White,7,2.0017,60
5,5,4,White,6,0.9582,0
1,NA,NA,NA,6,2.1715,40
5,3,6,White,1,0.7708,100
7,NA,NA,White,4,1.6236,60
6,NA,4,White,2,0.5635,0
NA,NA,NA,White,6,0.681,-88
1,NA,NA,Black,7,3.0072,50
NA,6,NA,Black,4,1.4279,60
2,5,3,White,4,0.6127,30
7,3,4,White,1,1.4624,70
5,4,5,NA,6,3.5922,15
3,NA,3,White,6,0.5429,0
2,5,NA,NA,7,0.6357,50
3,5,3,White,7,4.6473,0
4,3,5,White,4,2.1023,40
5,7,6,NA,1,2.9429,100
3,6,1,NA,7,0.2521,0
