"","V160001","V160101","V160101f","V160101w","V160102","V160102f","V160102w","V160501","V161002","V161003","V161004","V161005","V161006","V161027","V161030","V161031","V161080x","V161082x","V161083x","V161084x","V161085x","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161112","V161114x","V161127","V161140x","V161141x","V161142x","V161158x","V161159","V161160","V161161","V161162","V161163","V161164","V161165","V161166","V161167","V161168","V161169","V161170","V161178","V161181","V161184","V161187","V161189","V161192","V161194x","V161195x","V161196x","V161197","V161198","V161201","V161204x","V161213x","V161214x","V161225x","V161226x","V161227x","V161228x","V161229x","V161231","V161232","V161233x","V161234","V161235x","V161241","V161242","V161243","V161265x","V161267","V161267x","V161268","V161270","V161275x","V161308x","V161309","V161310a","V161310b","V161310c","V161310d","V161310e","V161310f","V161310x","V161324","V161331x","V161430","V162034a","V162035","V162036a","V162045x","V162058x","V162059x","V162060x","V162061x","V162062x","V162094","V162095","V162096","V162101","V162106","V162107","V162108","V162110","V162113","V162176x","V162230x","V162231x","V162238x","V162255x","V162298","V162310","V162311","V162312","V162313","V162314","V162345","V162346","V162347","V162348","V162349","V162350","V162351","V162352","V162353","V162354","V162355","V162356","V162357","V162358","V162359","V162360","V162361","V162362","V162363","V162364","V162365","V162366","V162367"
"966",NA,0.2137,0.2294,0,0.2083,0.2301,0,1,1,3,1,2,NA,NA,1,1,1,1,2,2,3,85,40,60,NA,NA,NA,85,70,NA,70,85,1,2,NA,2,2,2,6,3,3,2,4,1,3,5,2,5,1,4,5,5,4,3,1,99,2,7,6,7,2,3,5,4,2,3,1,2,3,1,2,1,3,3,1,2,2,NA,3,NA,24,2,6,10,10,NA,1,1,0,0,0,0,0,5,0,1,0,1,1,NA,1,10,11,NA,NA,1,"85","40","85","85","100","70","100","85","85","2","4","4","4","8","1","85","100","85","60","85","3","3","1","3","5","4","4","2","2","4","5","2","2","2","3","4","1","3","5","2","5","2","2"
"967",NA,0.5785,0.6157,0,0.5867,0.6112,0,1,1,1,1,1,2,NA,1,2,4,4,3,4,4,0,60,30,15,50,50,15,0,50,15,15,1,7,NA,3,4,5,5,4,5,3,5,1,1,2,3,3,1,5,3,2,6,6,3,7,3,4,4,2,1,4,4,7,1,6,6,7,1,3,1,2,2,3,2,2,1,3,2,NA,29,3,1,10,10,NA,2,1,0,0,0,0,0,1,2,1,0,2,2,NA,11,11,11,11,NA,2,"50","0","0","100","40","85","85","100","0","2","2","6","5","9","2","100","100","100","10","100","2","2","2","1","1","2","1","1","4","1","6","1","4","5","5","5","4","4","4","4","4","5","4"
"968",NA,0.4087,0.4389,0,0.3685,0.4242,0,1,1,1,1,1,1,NA,1,1,3,1,1,1,1,85,0,50,40,70,30,85,85,NA,70,15,1,1,NA,2,3,3,2,3,1,1,3,2,5,3,5,5,3,1,5,6,1,3,1,3,4,7,6,7,2,1,2,1,5,1,2,1,6,6,1,1,4,4,3,2,2,NA,3,NA,49,7,6,16,10,NA,2,1,0,0,0,0,0,1,0,1,NA,1,1,NA,1,10,10,NA,NA,1,"50","30","70","30","85","50","70","60","100","1","4","1","1","10","2","100","100","85","85","40","4","2","1","1","5","3","2","1","3","5","2","5","1","2","3","4","2","2","4","1","4","1","1"
"969",NA,0.5496,0.5892,0,0.6061,0.6561,0,1,2,1,1,2,NA,NA,NA,NA,2,4,4,NA,4,50,90,NA,NA,NA,NA,75,NA,NA,50,50,1,4,1,3,3,4,2,2,3,2,3,1,2,2,2,2,1,2,2,NA,4,4,3,4,3,1,6,2,1,4,4,4,2,7,2,2,4,6,NA,NA,2,1,2,3,1,NA,NA,NA,82,13,3,5,50,NA,2,1,0,0,0,0,0,1,0,40,NA,NA,NA,NA,10,31,NA,NA,NA,NA,"100","100","100","100","30","100","100","100",".","3","4",".",".","5","2","100","100","100","7","100","1","1","1","1","1",".",".",".",".",".",".",".","3","3","3","3","3","3","3","3","3","3","5"
"970",NA,0.5652,0.606,0,0.564,0.607,0,1,2,4,2,2,NA,NA,NA,NA,4,4,4,NA,4,0,0,NA,NA,NA,NA,30,50,NA,15,15,2,7,NA,5,5,5,4,5,5,3,5,5,5,5,3,5,1,5,5,7,7,1,2,1,3,6,6,4,2,1,1,7,2,4,1,1,1,1,1,1,1,4,3,5,1,3,1,NA,32,4,6,10,70,NA,2,1,0,0,0,0,0,1,3,3,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,".","50","50","50","50","50","50","30","50","7","1","1","5",".","1","50","50","50","50","50","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","5","3","3","3","3"
"971",NA,0.6069,0.6521,0,0.5885,0.6873,0,1,1,3,2,1,2,NA,1,2,4,4,4,4,4,0,85,NA,NA,NA,70,0,0,NA,0,85,1,7,NA,3,3,4,6,5,5,3,5,3,2,3,3,3,1,3,5,4,7,4,1,6,1,2,NA,1,1,6,2,6,1,7,3,2,5,4,1,1,4,1,3,2,2,NA,2,NA,47,7,1,13,20,NA,2,1,0,0,0,0,0,1,2,8,0,2,1,NA,1,11,11,NA,NA,2,"85","15","50","60","0","60","85","85","70","4","4","4","5","6","2","85","85","85","0","85","3","4","2","2","4","5","3","3","7","4","7","2","3","3","3","3","3","3","3","3","3","3","1"
"972",NA,0.2976,0.3198,0,0.2853,0.3326,0,1,2,4,3,NA,NA,NA,1,2,4,4,4,4,4,0,70,NA,15,NA,50,0,0,NA,40,50,1,5,1,5,3,3,5,5,5,5,5,3,2,2,1,2,1,2,1,2,NA,7,2,7,1,1,1,1,1,7,4,7,7,7,2,1,1,1,4,3,1,1,3,5,1,3,1,NA,53,8,4,11,10,NA,2,1,0,0,0,0,0,1,0,4,NA,2,1,NA,11,11,11,11,NA,2,"50","50","15","50","0","100","0","100","0","4","2","4","5","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"973",NA,2.4882,2.668,0,2.3736,2.5047,0,1,2,4,3,2,NA,NA,NA,NA,2,1,1,4,4,0,85,NA,50,NA,70,60,15,NA,50,50,1,2,NA,4,2,5,4,5,4,5,5,3,2,2,3,3,1,3,3,NA,4,NA,1,2,3,4,5,4,1,NA,NA,1,7,7,4,1,5,1,1,1,2,1,3,3,1,2,2,NA,19,1,6,10,80,NA,2,1,0,0,0,0,0,1,0,19,0,NA,NA,NA,10,31,NA,NA,NA,NA,"50","50","50","50","50","50","50","85","50","4","4","1","1","3","2","50","50","100","15","100","4","4","4","4","4","4","4","4","4","4","4","4","1","1","2","3","1","3","3","1","3","1","4"
"974",NA,1.3052,1.4015,0,1.3646,1.4925,0,1,2,3,2,1,1,NA,1,1,4,1,1,1,1,85,0,50,NA,50,50,100,85,NA,100,0,1,1,2,3,3,2,1,1,2,1,2,1,5,5,5,5,2,1,5,7,6,4,1,4,3,7,6,7,1,2,3,1,1,4,2,1,6,6,1,1,4,1,1,3,1,1,2,NA,47,7,4,11,10,NA,2,0,1,0,0,0,0,2,3,25,0,1,1,NA,11,10,10,10,NA,1,"50","100","70","60","70","100","50","60","85","3","4","3","1","10","2","80","40","100","15","70","3","3","1","1","6","4","5","1","3","1","4","1","1","2","4","5","1","2","5","1","4","1","5"
"975",NA,1.7266,1.8558,0,1.7145,1.8172,0,1,2,1,1,1,1,NA,1,1,4,1,1,1,2,70,0,30,50,50,30,100,60,NA,85,30,1,4,NA,2,NA,2,1,2,1,2,3,2,5,5,5,5,1,2,5,5,4,4,1,4,3,3,6,7,1,4,2,4,4,2,2,1,6,5,1,1,3,4,2,NA,1,3,2,NA,71,12,1,11,50,NA,2,1,0,0,0,0,0,1,0,20,NA,1,1,NA,11,10,10,10,NA,1,"100","40","100","30","85","100","100","85","60","2",".","1","5",".","2","100","100","100","60","100","4","4","4","4",".",".",".",".",".","4","4","4","2","3","2","5",".","3","5","3",".","2","2"
"976",NA,0.863,0.926,0,0.7819,0.8994,0,1,1,4,3,2,NA,NA,NA,NA,4,4,4,4,NA,0,0,NA,NA,NA,50,15,0,NA,0,0,1,2,NA,3,4,3,4,5,5,1,5,5,5,5,4,5,1,3,5,4,5,4,3,99,2,6,6,4,1,4,NA,4,1,4,3,1,1,1,4,3,1,1,3,3,1,2,1,NA,57,9,6,9,60,NA,2,1,0,1,0,0,0,6,0,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"50","60","50","50","50","100","50","50","50","2","1","4","5",".","1","8","8","8","3","8","4","2","5","5","4","6","5","4","5","1","6","2","2","3","3","4","3","2","4","3","2","2","4"
"977",NA,0.3854,0.4139,0,0.4119,0.3963,0,1,1,2,2,1,2,NA,2,NA,4,4,4,1,4,15,70,50,50,50,50,40,60,NA,60,85,1,7,NA,3,3,4,5,5,5,2,5,3,4,5,3,5,2,4,5,4,7,7,1,2,2,5,5,NA,1,4,5,NA,6,7,NA,5,1,1,2,3,2,1,2,4,1,3,1,NA,64,10,3,9,50,NA,2,1,0,0,0,0,0,1,0,17,0,NA,NA,NA,1,NA,NA,NA,NA,NA,"50","100","50","85","40","100","100","85","100","3","2","4","4",".","1","70","60","70","30","85","4","3","3","2","5","5","4","4","6","1","7","1","3",".","4","4",".","3",".","2",".","2","1"
"978",NA,1.8051,1.9206,0,1.7697,1.8549,0,1,2,1,2,1,1,NA,1,1,4,1,1,1,1,85,0,40,40,30,50,100,85,NA,60,50,1,1,NA,2,3,2,3,1,3,1,3,2,3,5,5,5,1,4,5,5,3,4,1,3,3,6,5,7,2,3,1,4,7,2,1,4,2,6,1,1,4,3,3,1,1,1,3,NA,59,9,6,12,10,NA,2,0,0,0,1,0,0,3,0,17,NA,1,1,NA,11,10,10,10,NA,1,"100","50","85","50","70","50","85","70","85","4","4","2","5","10","2","85","70","70","70","70","4","4","3","3","4","4","4","4","4","4","4","4","2","3","4","4","2","2","5","1","4","1","4"
"979",NA,0.2425,0.2605,0,0.2822,0.2708,0,1,1,4,3,2,NA,NA,NA,NA,4,NA,4,4,4,50,50,99,99,99,99,60,60,99,50,50,1,7,2,3,3,3,3,3,3,1,1,1,1,3,2,5,1,1,5,3,6,NA,1,5,1,1,2,1,1,4,5,NA,7,7,7,7,1,1,1,3,2,1,2,2,1,2,1,NA,71,12,4,8,50,NA,2,1,0,0,0,0,0,1,0,40,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,".","50","15","60","40","70","70","85",".","7","1","4","5","10","2","50","50","50","15","50","1","3","1","3","3","4","4","4","5","4","7","3","4","2","3","4","5","4","5","1","3","2","5"
"980",NA,0.3404,0.3657,0,0.3216,0.3656,0,1,2,3,3,NA,NA,NA,1,2,4,1,4,4,4,15,85,NA,NA,NA,NA,15,15,NA,NA,NA,1,4,NA,5,2,4,NA,5,5,4,5,4,1,4,1,3,1,1,3,NA,NA,NA,1,99,1,4,5,4,1,NA,NA,NA,7,6,NA,4,6,5,1,1,2,2,3,4,2,NA,2,NA,48,7,4,13,60,NA,2,1,0,0,0,0,0,1,2,7,NA,NA,NA,NA,31,31,31,30,31,NA,"85",".",".",".",".",".",".","100","85","6","3","2","4",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"981",NA,1.0524,1.1278,0,1.2306,1.1642,0,1,2,4,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,50,50,NA,NA,NA,NA,50,50,NA,50,50,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,99,2,4,5,4,1,NA,NA,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,47,7,6,6,70,NA,1,NA,NA,NA,NA,NA,NA,5,6,8,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"50","50","50","50","50","50","50","50","50","4","4",".",".",".","1","50","50","50","50","50",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"982",NA,0.4723,0.5026,0,0.4496,0.4592,0,1,2,1,1,1,1,NA,NA,NA,3,1,2,2,1,85,0,NA,NA,0,NA,100,70,NA,85,0,NA,4,NA,3,3,4,1,1,3,1,3,4,5,5,5,5,5,2,5,7,1,1,1,1,4,7,6,7,2,1,1,1,6,2,1,1,5,6,1,1,4,NA,3,2,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,10,30,NA,NA,NA,NA,"85","0","100","30",".","50",".","50","100",".","4","1",".","10","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4"
"983",NA,0.7783,0.8355,0,0,0,0,1,1,2,2,2,NA,NA,NA,NA,4,4,4,4,4,0,70,50,40,0,100,0,0,NA,50,50,1,7,NA,4,3,3,4,5,5,5,5,5,5,5,5,5,1,5,5,1,7,7,3,7,2,1,1,1,1,7,7,4,7,7,4,1,1,1,1,2,2,1,2,3,1,2,1,NA,61,10,1,9,10,NA,2,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"984",NA,1.5103,1.6058,0,1.593,1.564,0,1,2,4,2,1,2,NA,NA,NA,NA,4,4,NA,4,0,60,NA,50,NA,NA,0,100,50,50,50,1,7,2,5,1,5,2,3,5,1,5,4,1,3,1,2,1,3,3,3,4,5,3,2,1,7,5,1,1,7,7,7,7,7,2,1,5,5,1,1,2,1,2,5,1,2,2,NA,61,10,2,9,60,NA,2,1,0,0,0,0,0,1,0,6,NA,NA,NA,NA,10,31,NA,NA,NA,NA,"50","15","40","50","50","85","70","100","50","4","1","5","5","6","2","50","40","40","0","100","5","7","7","5","3","6","5","6","6","1","7","1","4","5","3",".",".","1","5","4","4","2","2"
"985",NA,0.4732,0.5036,0,0.4624,0.5062,0,1,2,3,1,1,1,NA,1,1,NA,4,4,4,4,30,15,40,60,NA,NA,0,50,NA,85,15,1,7,NA,2,5,3,3,3,2,1,3,1,1,4,3,4,2,4,2,4,7,4,1,2,3,7,6,4,1,1,2,1,7,1,1,1,6,6,1,1,2,4,2,5,1,2,2,NA,58,9,4,10,60,NA,2,0,0,0,0,0,1,6,1,25,NA,NA,NA,NA,11,NA,10,11,NA,NA,"85","70","50","50","85","100","70","85","85","4","1","2","5","3","1","85","85","85","50","60","5","5","2","2","6","6","4","3","5","4","6","4","2","3","3","5","1","2","5","1","2","1","3"
"986",NA,0.419,0.4494,0,0.4528,0.4633,0,1,1,4,2,2,NA,NA,1,1,2,3,4,3,4,60,50,50,50,NA,NA,50,50,40,50,50,1,5,2,5,1,5,3,3,4,4,4,3,5,5,5,5,4,3,3,3,5,5,3,5,1,6,2,5,1,6,4,5,4,7,1,6,2,1,4,2,1,1,2,5,1,2,1,NA,36,5,1,7,10,NA,1,1,0,0,0,0,0,5,4,32,NA,NA,NA,NA,10,30,NA,NA,NA,NA,"60","60","50","60","30","60","50","50","50","4","1","4","5",".","2","50","50","50","30","60","4","6","4","5","4","7","6","4","7","2","7","1",".",".",".",".",".",".",".",".",".",".","3"
"987",NA,3.0204,3.2363,0,2.9353,2.8329,0,1,1,1,2,2,NA,NA,2,NA,4,1,4,1,1,60,50,0,0,40,0,80,50,40,90,80,2,3,1,3,2,2,5,2,1,4,1,2,4,5,3,5,3,3,5,1,1,1,3,7,2,6,5,4,1,1,1,7,4,7,4,3,4,6,4,3,1,4,3,3,1,3,1,NA,19,1,6,7,10,NA,2,0,1,0,0,0,0,2,0,18,NA,2,1,NA,11,11,NA,NA,NA,2,"40","85","70","85","70","85","70","85","100","4","4","4","5","7","2","70","50","70","100","70","4","1","4","2","1","4","3","3","3","2","5","1","1","3","3","3","4","1","3","3","1","4","2"
"988",NA,1.8244,1.96,0,1.7785,1.9423,0,1,2,1,1,1,2,NA,1,2,2,4,4,4,4,0,85,40,0,0,100,0,30,NA,0,85,1,7,NA,3,3,4,7,5,5,3,5,3,1,2,3,1,1,5,3,1,7,5,3,6,2,1,5,1,1,6,6,7,1,7,7,7,1,1,4,2,1,3,2,3,1,2,1,NA,47,7,6,13,10,NA,2,1,0,0,0,0,0,1,2,22,1,2,1,NA,11,11,11,11,NA,2,"85","85","0","100","15","85","100","100","0","2","1","7","5","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"989",NA,0.6222,0.6686,0,0.5964,0.6469,0,1,2,3,2,1,2,NA,1,2,4,4,4,4,4,0,100,NA,NA,0,100,0,0,NA,0,85,1,7,NA,4,3,4,7,5,5,5,5,4,1,1,1,1,1,4,3,1,6,6,3,7,1,4,NA,1,1,7,NA,7,1,7,7,1,1,1,4,3,1,1,1,5,1,3,1,NA,31,4,1,13,70,NA,2,1,0,0,0,0,0,1,5,31,0,2,1,NA,11,11,NA,NA,NA,2,".","100","0","100",".","100",".","70","6",".","1",".","5","3","2","50","0","50","0","85","1","5","3","1","2","6","5","4","7","1","7","1","5","5","5","1","5","5","2","5","2","5","3"
"990",NA,0.4179,0.449,0,0.4152,0.4157,0,1,2,4,2,1,1,NA,1,1,4,1,1,1,1,85,40,NA,NA,NA,NA,100,70,NA,60,NA,1,1,2,4,NA,2,1,1,1,1,2,1,5,5,5,5,1,2,5,NA,NA,1,1,3,3,4,6,7,2,NA,NA,4,4,4,2,1,1,5,1,3,2,4,3,2,1,3,1,NA,72,12,3,10,10,NA,2,0,1,0,0,0,0,2,0,40,NA,1,1,NA,11,10,10,10,NA,1,"85",".",".",".",".","60",".","85","85","4","1","1","5","8","2","50","50","100","50","50","2","3","2","1","3","3","2","2","2","4","2","4","3","3","3","3","4","4","4","3","4","3","3"
"991",NA,0.5763,0.6192,0,0.5443,0.6114,0,1,2,4,3,1,2,NA,1,2,2,4,4,4,4,15,85,50,NA,NA,60,15,60,NA,70,40,2,4,1,5,3,5,2,2,5,2,5,3,2,5,2,2,1,3,5,6,5,3,1,4,1,1,6,1,1,4,NA,4,2,7,4,1,6,1,1,1,2,1,2,5,1,3,1,NA,54,8,6,11,70,NA,2,1,0,0,0,0,0,1,0,10,NA,NA,NA,NA,11,30,NA,NA,NA,NA,"70","60","70","60","0","100","100","85","15","4","4","4","4","3","2","50","50","50","0","50","3","6","6","6","4","7","5","5","7","2","7","2","3","3","3","3","1","4","5","4","4","1","1"
"992",NA,0.6644,0.7121,0,0.8151,0.791,0,1,1,4,3,2,NA,NA,NA,NA,3,4,4,NA,4,50,50,NA,NA,NA,NA,50,0,NA,NA,NA,1,7,NA,3,NA,3,4,NA,4,3,5,NA,NA,5,2,5,2,4,5,NA,5,4,3,4,3,3,5,7,1,5,NA,4,4,7,4,6,3,1,3,3,2,1,3,3,1,1,2,NA,70,12,4,8,50,NA,2,1,0,0,0,0,0,1,0,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"70","70","60","50","60","70","60","70","50","4","5","7","5",".","1","50","60","50","50","70","5","6","3",".","4","6","5",".",".","5",".","4","4","3",".","3","5","3","3",".","3",".","1"
"993",NA,1.0988,1.1808,0,1.0212,1.0939,0,1,2,4,2,2,NA,NA,NA,NA,3,4,4,3,NA,70,40,NA,NA,NA,60,40,50,NA,70,50,1,2,2,5,3,2,NA,3,4,2,3,3,3,4,2,4,3,3,4,6,NA,4,1,3,2,7,6,4,1,5,NA,1,4,4,2,1,2,2,1,1,1,3,3,5,1,1,2,NA,21,2,6,10,10,NA,2,1,0,0,0,0,0,1,1,21,0,NA,NA,NA,30,NA,NA,NA,NA,NA,".","50","50",".","50","70","50","70","50","4","4","4",".","3","2","50","60","70","1","70","4","4","2","2","4","5","5","3","5","2","4","4","2","2","3","3","3","3","4","2","3","2","4"
"994",NA,0.4512,0.4847,0,0.4263,0.4846,0,1,2,4,2,1,5,NA,1,1,4,4,NA,NA,3,70,0,NA,NA,70,15,50,70,60,60,30,1,7,NA,5,NA,4,3,1,2,2,5,2,5,5,1,5,1,1,5,7,7,4,1,4,3,4,6,NA,1,NA,1,4,2,7,1,4,2,NA,1,1,4,1,2,5,1,3,1,NA,NA,NA,4,10,60,NA,2,1,0,0,0,0,0,1,0,5,NA,1,2,NA,1,10,12,NA,NA,1,"85","85","85","100","60","100","100","85","85",".","6","1",".","1","2","50","50","60","50","50","2","2","1","1","2","4","3","4","4","2","6","1","3","3","3","3","2","1","4","2","3","1","4"
"995",NA,1.1245,1.2072,0,1.0749,1.16,0,1,2,3,2,1,2,NA,2,NA,4,2,1,4,4,0,15,NA,NA,NA,NA,50,0,NA,50,85,2,7,2,3,4,2,6,3,4,3,5,4,3,1,3,3,1,3,4,4,7,1,1,4,3,6,6,1,1,4,1,7,4,7,2,4,1,6,2,1,2,1,2,2,1,3,1,NA,24,2,6,9,10,NA,2,1,0,1,0,0,0,6,1,5,0,NA,NA,NA,31,NA,NA,NA,NA,NA,"0","100","60","70","0","100","60","85","50","7","1","1","1","3","1","50","75","100","50","100","4","1","1","5","5","4","4","5","7","1","7","1","1",".","4","3","3","2",".","1","2","1","2"
"996",NA,0.1974,0.2122,0,0.1903,0.2113,0,1,2,2,1,1,2,NA,1,2,3,4,4,4,4,0,70,50,NA,0,85,15,15,50,0,85,1,6,2,3,3,NA,7,4,5,3,5,3,3,4,4,3,2,4,4,2,4,6,3,4,3,6,5,5,1,6,6,7,7,7,4,6,2,2,1,2,3,1,2,3,1,2,2,NA,90,13,3,13,50,NA,2,1,0,0,0,0,0,1,0,21,0,2,1,NA,1,11,11,NA,NA,2,"0","85","15","85","15","85","85","85","0","2",".","4","4","4","2","60","60","60","15","60","4","5","4","3","4","4","4","2","4","2","5","1","4","3","4","4","4","4","5",".","4","3","5"
"997",NA,0.4244,0.4561,0,0.4048,0.4326,0,1,2,3,3,1,NA,NA,1,2,NA,4,3,4,4,30,60,NA,50,50,NA,30,30,NA,30,60,1,7,NA,2,4,3,6,4,5,4,5,3,3,5,5,3,1,3,5,1,5,7,3,6,2,5,2,4,2,6,3,7,2,6,3,7,6,5,1,1,2,1,2,1,1,2,2,NA,38,5,1,12,10,NA,2,1,0,0,0,0,0,1,3,12,NA,2,2,NA,1,11,11,NA,NA,2,"50","50","70","70","70","70","70","85","40","4","3","4","5","9","1","50","50","50","30","50","3","3","3","3","3","3","3","3","3","3","2","2","3","3","4","4","2","3","4","3","4","2","5"
"998",NA,0.3616,0.3886,0,0,0,0,1,2,2,2,2,NA,NA,1,2,4,2,2,4,3,0,60,85,100,NA,NA,85,50,NA,60,60,1,6,NA,3,2,3,5,3,5,3,5,4,2,4,3,4,1,3,4,6,3,2,3,2,2,6,6,7,3,6,2,3,7,6,6,4,1,6,2,1,2,3,2,3,1,3,1,NA,47,7,4,12,40,NA,2,1,0,0,0,0,0,1,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999",NA,0.7489,0.804,0,0,0,0,1,2,3,1,1,1,NA,1,1,4,1,1,1,1,70,15,NA,NA,NA,50,85,60,NA,40,40,1,1,2,2,NA,2,NA,2,3,4,3,4,5,5,4,5,4,3,1,7,NA,NA,1,1,3,4,6,6,4,3,NA,1,4,6,2,1,4,1,4,3,2,3,3,2,1,3,2,NA,43,6,6,10,10,NA,2,0,1,0,0,0,0,2,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1000",NA,0.9271,0.9951,0,0.9094,1.0522,0,1,2,1,1,2,NA,NA,1,2,NA,NA,4,4,4,20,100,NA,NA,NA,NA,50,20,NA,50,80,2,2,1,4,1,4,4,5,5,5,5,5,2,2,1,2,2,5,1,5,4,2,1,3,3,4,2,7,1,NA,2,6,6,7,4,6,1,1,NA,1,1,1,2,3,1,3,1,NA,43,6,4,9,70,NA,2,1,0,0,0,0,0,1,0,3,NA,NA,NA,NA,0,31,NA,NA,NA,NA,"70","85","70","85","70","100","85","100","85","6","3","1","2","4","2","30","30","60","30","100","5","4","3","4","1","4","6","5","6","6","6","1","3","5","4","1","3","1","1","5","1","2","3"
"1001",NA,6.8139,7.3088,0,6.4445,6.6748,0,1,1,2,3,2,NA,NA,1,1,4,1,1,3,1,30,50,60,60,50,0,70,40,50,60,15,1,2,NA,2,2,2,3,3,5,2,4,5,5,5,5,1,1,2,5,6,2,2,1,3,3,6,6,6,1,2,1,5,7,4,1,1,4,5,1,1,4,4,3,1,2,NA,2,NA,20,1,6,9,81,NA,2,1,0,0,0,0,0,1,0,20,0,1,2,NA,11,10,10,10,NA,1,"100","0","85","30","85","60","85","50","70","7","4","1","2","10","2","90","90","90","70","50","4","4","4","4","5","4","4","3","4","6","1","5","2","2","3","5","2","2","5","1","5","1","4"
"1002",NA,0.8754,0.9402,0,0.7953,0.8752,0,1,1,2,2,1,1,NA,1,1,4,1,2,2,2,60,15,50,50,50,15,70,60,NA,60,40,1,1,NA,3,3,2,3,3,4,2,5,4,5,5,5,4,2,2,5,5,2,4,1,3,3,7,5,6,2,3,1,5,2,1,1,1,6,5,1,1,4,1,3,1,2,NA,3,NA,24,2,6,13,10,NA,2,1,0,0,0,0,0,1,0,1,0,1,1,NA,11,10,11,11,NA,1,"85","30","60","60","85","70","100","85","70","2","4","2","4","10","2","80","80","85","40","85","3","4","2","3","4","5","4","3","4","3","4","2","2","2","3","4","1","3","5","1","5","2","5"
"1003",NA,0.8246,0.8863,0,0.8188,0.8679,0,1,2,2,1,1,1,NA,1,1,4,1,1,1,1,100,0,50,50,85,50,100,85,50,85,40,1,1,NA,2,NA,1,1,1,1,1,2,1,5,5,4,5,2,1,5,4,3,3,1,4,3,1,6,7,1,4,3,7,7,2,2,2,6,6,1,1,3,2,1,1,1,1,2,NA,80,13,1,13,50,NA,2,1,0,0,0,0,0,1,0,40,NA,1,1,NA,11,10,10,10,NA,1,"100","70","85","70","100","100","100","100","85","1","4","2","4","10","2","95","85","95","85","95","2","2","1","1","1","1","2","1","2","1","1","1",".",".","4",".",".",".","5",".",".",".","5"
"1004",NA,0.3118,0.3351,0,0.2986,0.3316,0,1,1,2,1,1,1,NA,1,2,4,4,4,4,4,0,85,15,15,30,85,15,0,NA,15,40,1,4,NA,3,3,2,6,5,5,4,5,3,3,2,3,3,1,3,3,5,6,4,3,4,1,6,5,4,1,6,2,6,2,6,4,4,1,1,2,2,2,1,3,3,1,2,1,NA,64,10,1,13,40,NA,2,1,0,0,0,0,0,1,0,2,NA,2,1,NA,11,11,11,11,NA,2,"85","60","60","70","60","100","85","100","0","4","1","5","5","4","2","85","85","85","85","85","2","5","4","4","3","3","3","3","3","2","3","2","4","4","4","4","4","4","4","4","4","4","4"
"1005",NA,1.8292,1.9615,0,1.8987,1.9693,0,1,2,1,1,1,2,2,NA,NA,4,4,4,4,4,0,70,0,0,0,100,0,0,NA,0,70,1,7,NA,5,4,5,7,5,5,4,5,5,2,2,2,2,1,5,3,1,6,5,3,6,1,1,5,1,1,6,6,6,1,7,7,3,1,NA,1,2,2,1,2,2,1,3,1,NA,68,11,1,13,70,NA,2,1,0,0,0,0,0,1,0,40,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"50","85","30","60","40","100","100","70","0","2","2","4","5",".","2","85","85","85","15","85","2","2","2","1","2","3","2","2","4","2","5","2","2","3","3","3","2","3","4","2","2","3","5"
